epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
16,8200,0.000549,0.2276,0.0768,0.0172,0.0139,0.0,0.3679
16,8300,0.000556,0.2271,0.0759,0.0174,0.0145,0.0,0.3656
16,8400,0.000562,0.226,0.0753,0.0175,0.0142,0.0,0.3635
16,8500,0.000569,0.2253,0.0749,0.0176,0.0144,0.0,0.3617
16,8600,0.000576,0.2248,0.0742,0.0177,0.0147,0.0,0.3596
16,8700,0.000582,0.2237,0.0732,0.0179,0.0149,0.0,0.3565
17,8800,0.000589,0.2109,0.0658,0.0163,0.0139,0.0,0.3385
17,8900,0.000595,0.2091,0.0649,0.0161,0.0138,0.0,0.3357
17,9000,0.000602,0.2084,0.0641,0.0164,0.0141,0.0,0.3331
17,9100,0.000609,0.2075,0.0635,0.0165,0.0143,0.0,0.3303
17,9200,0.000615,0.206,0.0623,0.0168,0.0145,0.0,0.3263
18,9300,0.000622,0.1933,0.0558,0.0152,0.0135,0.0,0.3083
18,9400,0.000628,0.1922,0.0545,0.0158,0.0129,0.0,0.3059
18,9500,0.000635,0.1934,0.0553,0.0163,0.0132,0.0,0.306
18,9600,0.000642,0.1926,0.055,0.0164,0.0136,0.0,0.3034
18,9700,0.000648,0.1913,0.0541,0.0166,0.0138,0.0,0.2999
18,9800,0.000655,0.1898,0.0532,0.0165,0.0138,0.0,0.2971
19,9900,0.000661,0.18,0.0484,0.0157,0.0139,0.0,0.2802
19,10000,0.000668,0.1779,0.0473,0.0158,0.0139,0.0,0.2758
19,10100,0.000675,0.1766,0.0467,0.0158,0.0141,0.0,0.273
19,10200,0.000681,0.175,0.0455,0.0159,0.0142,0.0,0.2692
19,10300,0.000688,0.1736,0.0448,0.016,0.0142,0.0,0.2664
20,10400,0.000694,0.159,0.0372,0.0152,0.0132,0.0,0.2422
20,10500,0.000701,0.1619,0.0386,0.0156,0.0132,0.0,0.2468
20,10600,0.000708,0.1624,0.0391,0.0155,0.013,0.0,0.2482
20,10700,0.000714,0.1617,0.0387,0.0156,0.0133,0.0,0.2459
20,10800,0.000721,0.1604,0.038,0.0157,0.0135,0.0,0.243
20,10900,0.000727,0.1591,0.0372,0.0157,0.0135,0.0,0.2402
21,11000,0.000734,0.1502,0.0339,0.0146,0.0126,0.0,0.2278
21,11100,0.000741,0.1489,0.0334,0.0146,0.0125,0.0,0.2257
21,11200,0.000747,0.148,0.033,0.0145,0.0124,0.0,0.2244
21,11300,0.000754,0.1474,0.0326,0.0148,0.0124,0.0,0.2226
21,11400,0.00076,0.1465,0.0319,0.0149,0.0127,0.0,0.2196
22,11500,0.000767,0.1393,0.0294,0.0139,0.0114,0.0,0.2112
22,11600,0.000774,0.1398,0.0292,0.0143,0.0119,0.0,0.2098
22,11700,0.00078,0.14,0.0293,0.0146,0.0124,0.0,0.2086
22,11800,0.000787,0.1395,0.0288,0.0148,0.0126,0.0,0.2066
22,11900,0.000793,0.1387,0.0284,0.0149,0.013,0.0,0.2039
22,12000,0.0008,0.1373,0.0278,0.0148,0.013,0.0,0.2013
23,12100,0.0008,0.1264,0.024,0.0134,0.0124,0.0,0.1856
23,12200,0.0008,0.1263,0.0237,0.0137,0.0125,0.0,0.1841
23,12300,0.0008,0.1254,0.0234,0.0137,0.0124,0.0,0.1827
23,12400,0.0008,0.1253,0.0234,0.0138,0.0124,0.0,0.1822
23,12500,0.0008,0.1248,0.0231,0.0139,0.0124,0.0,0.1806
24,12600,0.0008,0.1175,0.0208,0.013,0.0114,0.0,0.1712
24,12700,0.0008,0.1185,0.0212,0.0132,0.0108,0.0,0.1735
24,12800,0.0008,0.1181,0.021,0.0132,0.011,0.0,0.1725
24,12900,0.0008,0.1175,0.0208,0.0132,0.0111,0.0,0.1712
24,13000,0.0008,0.1171,0.0205,0.0133,0.0113,0.0,0.1697
24,13100,0.0008,0.1166,0.0203,0.0134,0.0114,0.0,0.1683
25,13200,0.0008,0.1131,0.0193,0.013,0.0108,0.0,0.1637
25,13300,0.0008,0.1126,0.0193,0.0128,0.0106,0.0,0.1638
25,13400,0.0008,0.1112,0.0189,0.0125,0.0105,0.0,0.1621
25,13500,0.0008,0.1113,0.0188,0.0128,0.0104,0.0,0.1615
25,13600,0.0008,0.111,0.0187,0.0128,0.0104,0.0,0.1609
26,13700,0.0008,0.1071,0.0178,0.0115,0.0109,0.0,0.156
26,13800,0.0008,0.1059,0.0175,0.0116,0.0106,0.0,0.1541
26,13900,0.0008,0.1053,0.0171,0.0119,0.0107,0.0,0.1518
26,14000,0.0008,0.105,0.017,0.012,0.0104,0.0,0.1515
26,14100,0.0008,0.1046,0.0167,0.0121,0.0105,0.0,0.1503
27,14200,0.0008,0.0976,0.0149,0.0109,0.0109,0.0,0.1393
27,14300,0.0008,0.0997,0.0157,0.0112,0.01,0.0,0.1441
27,14400,0.0008,0.0988,0.0154,0.0111,0.01,0.0,0.1426
27,14500,0.0008,0.0985,0.0152,0.0112,0.0098,0.0,0.1421
27,14600,0.0008,0.0979,0.015,0.0113,0.0097,0.0,0.141
27,14700,0.0008,0.0979,0.0149,0.0114,0.0096,0.0,0.1407
28,14800,0.0008,0.0952,0.0144,0.0107,0.0091,0.0,0.1385
28,14900,0.0008,0.0945,0.0142,0.0107,0.0093,0.0,0.137
